city_ascii,country,population
Camden,United States,74532
Hilton Head Island,United States,74500
Missouri City,United States,74497
Shanxian,China,74459
San Marcos,United States,74212
Rochester Hills,United States,74205
Schaumburg,United States,74184
Winchester,United States,74031
Harrisonburg,United States,74023
Wausau,United States,73933
Jonesboro,United States,73788
Jackson,United States,73685
Rancho Cordova,United States,73563
Southfield,United States,73208
Owensboro,United States,73173
Apple Valley,United States,73077
Pasco,United States,73013
Conway,United States,72894
Lodi,United States,72890
New Britain,United States,72710
Mansfield,United States,72635
Carlisle,United Kingdom,72633
Lanxi,China,72528
Waukesha,United States,72489
Morgantown,United States,72453
Keshan,China,72403
Pittsburg,United States,72141
Sumter,United States,72131
Pawtucket,United States,72001
Lauderhill,United States,71970
Cleveland,United States,71944
Dothan,United States,71620
Redlands,United States,71554
Wenatchee,United States,71512
Passaic,United States,71247
Anlu,China,71198
Wilmington,United States,71106
Lynwood,United States,71099
Maple Grove,United States,71066
Pocatello,United States,71020
South Jordan,United States,70954
Weston,United States,70944
Georgetown,United States,70685
Scarborough,United Kingdom,70571
Janesville,United States,70518
Baiquan,China,70472
North Richland Hills,United States,70441
Union City,United States,70387
Saint Charles,United States,70329
Rongzhag,China,70000
Sheboygan,United States,69920
Homestead,United States,69907
Bristol,United States,69865
Lima,United States,69798
Walnut Creek,United States,69773
Woodbury,United States,69756
West Bend,United States,69577
Mount Vernon,United States,69528
Hammond,United States,69180
Daphne,United States,69065
Ayr,United Kingdom,69042
Liuhe,China,68938
Mansfield,United States,68928
Decatur,United States,68816
Delray Beach,United States,68749
Gaithersburg,United States,68710
Mount Vernon,United States,68703
Palatine,United States,68644
Dubuque,United States,68573
Bossier City,United States,68554
Buckeye,United States,68453
Rockville,United States,68401
Broomfield,United States,68341
Victoria,United States,68271
Yorba Linda,United States,68229
Ames,United States,68156
Daytona Beach,United States,68055
Redondo Beach,United States,67908
Minxian,China,67826
Carbondale,United States,67807
Hanover,United States,67679
Saratoga Springs,United States,67582
DeKalb,United States,67500
Casper,United States,67462
Kenner,United States,67451
South San Francisco,United States,67429
Sherman,United States,67354
Petaluma,United States,67316
Bayonne,United States,67186
Palo Alto,United States,67178
Weirton,United States,67082
Bay City,United States,67059
Eagan,United States,66627
Los Lunas,United States,66613
Corvallis,United States,66441
Rogers,United States,66430
Lake Elsinore,United States,66411
Laguna Niguel,United States,66334
Huinan,China,66315
Grand Forks,United States,66159
North Little Rock,United States,65911
Alpharetta,United States,65799
Tamarac,United States,65669
Schenectady,United States,65625
Great Falls,United States,65624
Longview,United States,65619
West Des Moines,United States,65608
Shawnee,United States,65513
East Orange,United States,65378
San Clemente,United States,65267
Michigan City,United States,65144
Jupiter,United States,64976
Wellington,United States,64848
Rocklin,United States,64838
Rocky Mount,United States,64732
Fairbanks,United States,64732
Elmira,United States,64664
Johnstown,United States,64615
Blaine,United States,64557
Sammamish,United States,64548
Eden Prairie,United States,64400
Redmond,United States,64291
Glens Falls,United States,64287
Parkersburg,United States,64253
